;mCPUE;bootstrapMean;median;Q025;Q975;BiasCQ025;BiasCQ075;sd
234;2.646833894;3.699622709;3.013573556;1.488691617;9.202235198;1.05718245;1.05718245;2.041552006
235;1.329155548;1.8804697;1.476903633;0.900521162;4.603980638;0.730802416;0.730802416;1.084295571
236;0.18695404;1.436181689;0.565687765;0.185212162;9.930373496;0.102493643;0.102493643;2.74228793
237;0.070636877;0.171799595;0.157252192;0.04877658;0.381490326;2.0112E-15;0.00012435;0.087579099
238;0.028161685;0.086833152;0.059233871;0;0.338903792;0;0.019949743;0.095278971
239;0;0;0;0;0;0;0;0
240;0.220476229;0.238078962;0.230237916;0.085838765;0.427149121;0.050006184;0.050006184;0.084338025
241;0;0;0;0;0;0;0;0
242;6.691606514;6.202081737;6.007531124;2.789085889;10.70731583;1.732347133;1.732347133;2.066414748
243;64.74423275;43.8263187;40.36482895;26.36507566;74.36431625;22.76381734;22.76381734;13.39021982
244;5.586656336;3.458306725;3.044949664;1.691233041;6.888777536;1.434361333;1.434361333;1.4818339
245;2.764730394;1.680936052;1.50789326;0.904360615;3.125882365;0.774964439;0.774964439;0.685131919
246;0.393288813;1.429339372;0.598835441;0.283541554;12.18686913;0.138219414;0.138219414;2.916058878
247;0.165906512;0.172979619;0.166390294;0.071051859;0.311352119;0.045152718;0.045152718;0.062202807
248;0.053719629;0.076733272;0.069107809;0;0.199227548;0;0;0.056815353
249;0;0;0;0;0;0;0;0
250;0.245621156;0.233491111;0.228957578;0.12047588;0.364077058;0.067818602;0.067818602;0.064503268
251;0;0;0;0;0;0;0;0
252;4.532828299;6.25172852;6.110539526;3.533814415;9.967366943;2.396147149;2.396147149;1.777870938
253;37.18380651;45.14732413;43.4760653;28.03034927;75.08362167;23.74030746;23.74030746;11.84682653
254;2.598172307;3.479567328;3.142353361;1.887957705;7.273093171;1.21808675;1.21808675;1.354111391
255;1.065330027;1.699788295;1.563235553;0.999029894;3.225000127;0.788945408;0.788945408;0.567182782
256;0.69269213;1.130229258;0.666140106;0.333384407;8.418135907;0.23669902;0.23669902;2.005216387
257;0.104076309;0.178791;0.176595346;0.086164605;0.302969721;0.053197;0.053197;0.055134287
258;0.022067185;0.073761069;0.06505122;0.009157592;0.182240102;0;0;0.044972739
259;0;0;0;0;0;0;0;0
260;0.21959354;0.228085952;0.226296278;0.136180609;0.327303566;0.094527396;0.094527396;0.051028668
261;0;0;0;0;0;0;0;0
262;4.770703172;6.305520201;6.22907835;3.661709325;9.876691267;3.184238528;3.184238528;1.556328596
263;37.08299256;45.29103032;43.50846522;30.46374572;67.65234027;25.45210091;25.45210091;10.0647847
264;2.725699622;3.335561151;3.112435026;1.966436329;5.70250971;1.578997905;1.578997905;1.04328941
265;1.190255324;1.623813001;1.522606917;1.055124092;2.770386036;0.938453768;0.938453768;0.447077035
266;0.553388795;0.96429165;0.707730146;0.368304641;6.28432095;0.261283892;0.261283892;1.555179846
267;0.168378309;0.176918528;0.174808216;0.10150856;0.269765653;0.071847403;0.071847403;0.044447458
268;0.010005412;0.073563523;0.069107376;0.01560167;0.149401286;0.006525268;0.006525268;0.034578116
269;0;0;0;0;0;0;0;0
270;0.20045033;0.227738022;0.225032959;0.151236183;0.314434931;0.12353559;0.12353559;0.042052215
271;0;0;0;0;0;0;0;0
272;8.589072737;6.253575967;6.067888081;3.995381272;9.304015654;2.9635255;2.9635255;1.392724387
273;55.28234999;44.94914855;43.87514205;32.19633273;64.68341465;25.93645541;25.93645541;8.602731153
274;4.811479889;3.339988891;3.163384437;2.093096613;5.311691955;1.860552069;1.860552069;0.92940884
275;2.11453983;1.615085577;1.538402177;1.095364141;2.513290184;0.888374634;0.888374634;0.365569671
276;0.822980292;0.761463182;0.737136181;0.386072273;0.986595752;0.301413406;0.301413406;0.684999991
277;0.157842863;0.175418059;0.172154303;0.109173402;0.260591726;0.083569445;0.083569445;0.038390988
278;0.01929728;0.075002606;0.070520996;0.012765056;0.155962347;0.001631317;0.001631317;0.035780391
279;0;0;0;0;0;0;0;0
280;0.252677517;0.22867086;0.227581085;0.157534345;0.304465258;0.120372618;0.120372618;0.037775924
281;0;0.085266229;0;0;0.858736427;0;0.494843707;0.228235909
282;30.41777721;36.54439306;28.91047456;12.38538656;114.177076;8.523006536;8.523006536;25.99047977
283;11.63610424;10.28745213;8.68975648;3.755542063;26.70772302;2.603174354;2.603174354;6.076572365
284;9.339135315;7.399200562;4.408374389;1.765669517;28.47942696;0.989774117;0.989774117;7.164303909
285;1.82555819;1.375193501;1.270117471;0.445891606;2.985628255;0.22256652;0.22256652;0.706177694
286;0.518515428;0.435011688;0.401542044;0.108164849;0.959721416;0.026100706;0.026100706;0.218139662
287;0.42897874;0.251268615;0.220122318;0.026410831;0.561915449;0;0;0.259668547
288;0;0.045735789;0.018524761;0;0.180704561;0;0.055574284;0.055602882
289;0.059452446;0.015811469;0;0;0.102676889;0;0.053507202;0.027289188
290;0.103153237;0.158624021;0.133830608;0;0.429849542;0;0;0.116005789
291;0;0.068996155;0;0;0.472838854;0;0.175523011;0.137342925
292;24.79720139;38.5267613;30.36320526;14.91473531;99.34240343;8.522710694;8.522710694;23.7614831
293;10.45067359;11.70538804;10.26509263;4.300170006;29.02289858;3.044851388;3.044851388;6.256370598
294;4.220178966;7.324709741;5.474426987;2.387662592;22.49915817;1.636636246;1.636636246;5.843536592
295;1.155890858;1.374357539;1.356217971;0.64296726;2.350559479;0.284318415;0.284318415;0.496926392
296;0.744934704;0.434465045;0.418591311;0.147338966;0.803973719;0.063698039;0.063698039;0.172137014
297;0.295959947;0.235732823;0.221099112;0.058871903;0.530321491;0.010289846;0.010289846;0.124563634
298;0.047153938;0.047331669;0.03821943;0;0.170528593;0;0.025934666;0.046675883
299;0.044156662;0.016926173;0;0;0.08135717;0;0.028816296;0.023637694
300;0.097256025;0.148162328;0.130830321;0.026215131;0.362680646;0;0;0.088191536
301;0.078206353;0.051172421;0;0;0.333629325;0;0.100888765;0.097193229
302;27.95720363;38.07640633;31.58953743;16.27455049;84.95542171;11.68668603;11.68668603;19.26511235
303;14.3482351;11.89538869;10.38388197;5.06509695;27.35791887;4.389304013;4.389304013;5.690177565
304;15.7513731;7.018711149;5.700386195;2.455413041;18.7741947;1.634591736;1.634591736;4.752148642
305;1.103482233;1.349652262;1.310691067;0.685549093;2.371442536;0.440554048;0.440554048;0.425919879
306;0.589471834;0.430234008;0.41935869;0.193883089;0.721218459;0.102847779;0.102847779;0.140593862
307;0.400056362;0.234222747;0.221625832;0.065664225;0.445295334;0.025870802;0.025870802;0.099841134
