;Year;Quarter;Haul;Age;Count
266;2018;3;2018:3:ENG:END:GOV:9:18;3;1
267;2018;3;2018:3:GFR:WAH3:GOV:321:12;3;1
268;2018;3;2018:3:GFR:WAH3:GOV:375:66;3;1
269;2018;3;2018:3:NOR:58UO:GOV:60205:522;3;2
270;2018;3;2018:3:NOR:58UO:GOV:60211:528;3;1
271;2018;3;2018:3:NOR:58UO:GOV:60220:537;3;1
272;2018;3;2018:3:NOR:58UO:GOV:60223:540;3;3
273;2018;3;2018:3:NOR:58UO:GOV:60224:541;3;1
274;2018;3;2018:3:NOR:58UO:GOV:60228:545;3;2
275;2018;3;2018:3:NOR:58UO:GOV:60229:546;3;2
276;2018;3;2018:3:NOR:58UO:GOV:60230:547;3;2
277;2018;3;2018:3:NOR:58UO:GOV:60231:548;3;3
278;2018;3;2018:3:NOR:58UO:GOV:60233:550;3;2
279;2018;3;2018:3:NOR:58UO:GOV:60235:552;3;2
280;2018;3;2018:3:NOR:58UO:GOV:60236:553;3;3
281;2018;3;2018:3:NOR:58UO:GOV:60237:554;3;1
282;2018;3;2018:3:NOR:58UO:GOV:60241:558;3;2
283;2018;3;2018:3:NOR:58UO:GOV:60248:565;3;1
284;2018;3;2018:3:NOR:58UO:GOV:60250:567;3;3
285;2018;3;2018:3:NOR:58UO:GOV:60254:571;3;1
286;2018;3;2018:3:NOR:58UO:GOV:60259:576;3;1
287;2018;3;2018:3:NOR:58UO:GOV:60261:578;3;1
288;2018;3;2018:3:NOR:58UO:GOV:60266:582;3;1
289;2018;3;2018:3:NOR:58UO:GOV:60267:583;3;3
290;2018;3;2018:3:SCO:SCO3:GOV:200:200;3;1
291;2018;3;2018:3:SCO:SCO3:GOV:203:203;3;9
292;2018;3;2018:3:SCO:SCO3:GOV:205:205;3;1
293;2018;3;2018:3:SCO:SCO3:GOV:206:206;3;1
294;2018;3;2018:3:SCO:SCO3:GOV:207:207;3;2
295;2018;3;2018:3:SCO:SCO3:GOV:209:209;3;1
296;2018;3;2018:3:SCO:SCO3:GOV:212:212;3;1
297;2018;3;2018:3:SCO:SCO3:GOV:213:213;3;1
298;2018;3;2018:3:SCO:SCO3:GOV:218:218;3;1
299;2018;3;2018:3:SCO:SCO3:GOV:219:219;3;1
300;2018;3;2018:3:SCO:SCO3:GOV:220:220;3;1
301;2018;3;2018:3:SCO:SCO3:GOV:221:221;3;1
302;2018;3;2018:3:SCO:SCO3:GOV:222:222;3;1
303;2018;3;2018:3:SCO:SCO3:GOV:224:224;3;2
304;2018;3;2018:3:SCO:SCO3:GOV:226:226;3;3
305;2018;3;2018:3:SCO:SCO3:GOV:227:227;3;4
306;2018;3;2018:3:SCO:SCO3:GOV:229:229;3;20
307;2018;3;2018:3:SCO:SCO3:GOV:235:235;3;1
308;2018;3;2018:3:SWE:DANS:GOV:21:1;3;1
309;2018;3;2018:3:SWE:DANS:GOV:23:2;3;1
310;2018;3;2018:3:SWE:DANS:GOV:24:3;3;3
311;2018;3;2018:3:SWE:DANS:GOV:45:8;3;1
312;2018;3;2018:3:SWE:DANS:GOV:67:13;3;1
313;2018;3;2018:3:SWE:DANS:GOV:82:15;3;1
314;2018;3;2018:3:SWE:DANS:GOV:83:16;3;5
315;2018;3;2018:3:ENG:END:GOV:56:121;4;2
316;2018;3;2018:3:ENG:END:GOV:60:154;4;1
317;2018;3;2018:3:ENG:END:GOV:61:151;4;1
318;2018;3;2018:3:ENG:END:GOV:66:145;4;1
319;2018;3;2018:3:ENG:END:GOV:74:138;4;1
320;2018;3;2018:3:NOR:58UO:GOV:60205:522;4;1
321;2018;3;2018:3:NOR:58UO:GOV:60207:524;4;1
322;2018;3;2018:3:NOR:58UO:GOV:60222:539;4;1
323;2018;3;2018:3:NOR:58UO:GOV:60223:540;4;3
324;2018;3;2018:3:NOR:58UO:GOV:60228:545;4;1
325;2018;3;2018:3:NOR:58UO:GOV:60232:549;4;1
326;2018;3;2018:3:NOR:58UO:GOV:60235:552;4;2
327;2018;3;2018:3:NOR:58UO:GOV:60236:553;4;1
328;2018;3;2018:3:NOR:58UO:GOV:60237:554;4;1
329;2018;3;2018:3:NOR:58UO:GOV:60238:555;4;2
330;2018;3;2018:3:NOR:58UO:GOV:60244:561;4;1
331;2018;3;2018:3:NOR:58UO:GOV:60249:566;4;2
332;2018;3;2018:3:SCO:SCO3:GOV:199:199;4;2
333;2018;3;2018:3:SCO:SCO3:GOV:200:200;4;3
334;2018;3;2018:3:SCO:SCO3:GOV:201:201;4;1
335;2018;3;2018:3:SCO:SCO3:GOV:203:203;4;6
336;2018;3;2018:3:SCO:SCO3:GOV:205:205;4;1
337;2018;3;2018:3:SCO:SCO3:GOV:207:207;4;2
338;2018;3;2018:3:SCO:SCO3:GOV:208:208;4;1
339;2018;3;2018:3:SCO:SCO3:GOV:212:212;4;1
340;2018;3;2018:3:SCO:SCO3:GOV:213:213;4;1
341;2018;3;2018:3:SCO:SCO3:GOV:214:214;4;1
342;2018;3;2018:3:SCO:SCO3:GOV:216:216;4;1
343;2018;3;2018:3:SCO:SCO3:GOV:217:217;4;1
344;2018;3;2018:3:SCO:SCO3:GOV:219:219;4;2
