;Year;Quarter;Bootstrap;ALK;age;mCPUE;boostrapMean;median;Q025;Q975;L;U;sd;RSE;Width CI-95
109;2016;Q3;ICES-IBTS;area based;3;4,311326049;3,929864461;3,890729386;2,998808859;5,02322586;3,617234036;5,788075946;0,537933924;0,124772267;2,17084191
110;2016;Q3;ICES-IBTS;area based;4;2,111925173;2,078733187;2,059791056;1,579466758;2,613694557;1,656442575;2,739591724;0,269729771;0,127717485;1,083149148
111;2016;Q3;ICES-IBTS;area based;5;0,502188527;0,455610723;0,452947172;0,276153666;0,636800911;0,36432974;0,726656151;0,093411355;0,186008541;0,362326411
112;2016;Q3;ICES-IBTS;area based;6+;0,531387417;0,450904952;0,453921313;0,304837073;0,589805487;0,468939968;0,719933658;0,074609804;0,140405666;0,25099369
113;2016;Q3;Modified-ICES;area based;0;11,11245644;10,55098107;10,62247325;7,205055533;13,83898991;8,177155244;14,75407207;1,686961177;0,151808125;6,576916823
114;2016;Q3;Modified-ICES;area based;1;3,151900865;2,915378201;2,929025433;2,111385246;3,77080971;2,536120501;4,115841063;0,430420054;0,136558881;1,579720562
115;2016;Q3;Modified-ICES;area based;2;4,650851131;3,782801633;3,680385439;2,53668919;5,089634194;3,156617336;5,342591133;0,872953968;0,18769768;2,185973797
116;2016;Q3;Modified-ICES;area based;3;4,311326049;3,961291346;3,968268872;3,155853396;4,817862089;3,738299854;5,139245835;0,429262216;0,099566169;1,400945981
117;2016;Q3;Modified-ICES;area based;4;2,111925173;2,073815404;2,076939896;1,779488629;2,393308337;1,847897736;2,439661822;0,149918144;0,070986485;0,591764086
118;2016;Q3;Modified-ICES;area based;5;0,502188527;0,457635305;0,461032167;0,348867029;0,558926838;0,424873403;0,640544672;0,058819578;0,117126487;0,21567127
119;2016;Q3;Modified-ICES;area based;6+;0,531387417;0,476189657;0,473898617;0,387077018;0,572147916;0,489351859;0,611340929;0,049072084;0,092347095;0,121989071
120;2016;Q3;Stratified;haul based;0;11,11245644;10,55071353;10,62247325;7,205055533;13,83898991;8,177155244;14,75407207;1,686987365;0,151810482;6,576916823
121;2016;Q3;Stratified;haul based;1;3,144150947;2,908053334;2,920389142;2,100301019;3,788165351;2,518960949;4,036495889;0,434668751;0,138246782;1,51753494
